# Earth Party real-star selection
# Source: CDS V/50 Bright Star Catalogue, 5th Revised Ed.
# Source URL: https://cdsarc.cds.unistra.fr/ftp/V/50/catalog.gz
# Source SHA-256: 3dc44b1e90be8fbe5bcc7656032560f51275f985c7e3f783c9028e1838ec7bed
# Coordinates: J2000 equatorial; magnitude: Johnson V; color: B-V
display_name	hr	bayer	constellation	ra_degrees	dec_degrees	vmag	bv	spectral_type	selection
Alpheratz	15	Alp	And	2.09708333	29.09055556	2.060	-0.110	B8IVpMnHg	And
Caph	21	Bet	Cas	2.29458333	59.14972222	2.270	0.340	F2III-IV	Cas
Algenib	39	Gam	Peg	3.30916667	15.18361111	2.830	-0.230	B2IV	Peg
Schedar	168	Alp	Cas	10.12708333	56.53722222	2.230	1.170	K0IIIa	Cas
Cih	264	Gam	Cas	14.17708333	60.71666667	2.470	-0.150	B0IVe	Cas
Mirach	337	Bet	And	17.43291667	35.62055556	2.060	1.580	M0+IIIa	And
Ruchbah	403	Del	Cas	21.45416667	60.23527778	2.680	0.130	A5III-IV	Cas
Achernar	472	Alp	Eri	24.42875000	-57.23666667	0.460	-0.160	B3Vpe	bright
Segin	542	Eps	Cas	28.59875000	63.67000000	3.380	-0.150	B3III	Cas
Almach	603	Gam	And	30.97500000	42.32972222	2.260	1.370	K3-IIb	And
Hamal	617	Alp	Ari	31.79333333	23.46250000	2.000	1.150	K2-IIICa-1	bright
Polaris	424	Alp	UMi	37.95291667	89.26416667	2.020	0.600	F7:Ib-II	UMi
23Gam Per	915	Gam	Per	46.19916667	53.50638889	2.930	0.700	G8III+A2V	Per
Algol	936	Bet	Per	47.04208333	40.95555556	2.120	-0.050	B8V	Per
Mirfak	1017	Alp	Per	51.08083333	49.86111111	1.790	0.480	F5Ib	bright,Per
39Del Per	1122	Del	Per	55.73125000	47.78750000	3.010	-0.130	B5IIIe	Per
Alcyone	1165	Eta	Tau	56.87125000	24.10500000	2.870	-0.090	B7IIIe	Tau
44Zet Per	1203	Zet	Per	58.53291667	31.88361111	2.850	0.120	B1Ib	Per
